vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;
Audi A3;140.000 km;jul-11;103 kW (140 CV);Automático;Diésel;5,9;DE;159;€ 10.890;
Audi A1;175.000 km;may-11;63 kW (86 CV);Manual;Gasolina;5,1;Unknown;118;€ 8.100;
Audi A1;85.000 km;feb-11;63 kW (86 CV);Manual;Gasolina;5 l/;Unknown;116;€ 7.500;
Audi Q5;165.027 km;jul-11;125 kW (170 CV);Automático;Diésel;6,2;Unknown;163;€ 14.000;
Audi A6;250.000 km;may-12;150 kW (204 CV);Automático;Diésel;5,2;Unknown;136;€ 12.000;
Audi Q7;240.000 km;jun-12;180 kW (245 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 13.000;
Audi A4;105.000 km;nov-12;105 kW (143 CV);Manual;Diésel;4,7;Unknown;124;€ 10.500;
Audi A1;129.500 km;ene-11;90 kW (122 CV);Automático;Gasolina;5,2;Unknown;119;€ 10.500;
Audi A5;146.500 km;may-11;118 kW (160 CV);Automático;Gasolina;7,2;DE;169;€ 11.480;
Audi A5;142.000 km;jul-12;125 kW (170 CV);Manual;Gasolina;5,7;Unknown;134;€ 17.500;
Audi A4;182.000 km;nov-10;125 kW (170 CV);Manual;Diésel;5,5;Unknown;144;€ 8.000;
Audi A6;118.000 km;abr-10;120 kW (163 CV);Manual;Diésel;5,7;Unknown;149;€ 11.400;
Audi A5;172.000 km;dic-11;155 kW (211 CV);Automático;Gasolina;6,2;Unknown;144;€ 16.200;
Audi Q3;50.183 km;jun-12;125 kW (170 CV);Manual;Gasolina;7,3;DE;174;€ 15.990;
Audi A6;100.120 km;ene-12;180 kW (245 CV);Automático;Diésel;5,9;DE;156;€ 18.990;
Audi A3;57.007 km;mar-10;75 kW (102 CV);Manual;Gasolina;6,9;DE;164;€ 8.490;
Audi A6;355.000 km;dic-10;140 kW (190 CV);Automático;Diésel;6,2;Unknown;164;€ 5.000;
Audi A6;176.000 km;jun-11;150 kW (204 CV);Automático;Diésel;5,1;Unknown;133;€ 15.500;
Audi A5;156.000 km;may-12;150 kW (204 CV);Automático;Diésel;5,2;Unknown;138;€ 13.100;
Audi A4;158.073 km;dic-10;155 kW (211 CV);Automático;Gasolina;7,3;Unknown;172;€ 12.800;
Audi TT;93.500 km;jun-11;155 kW (211 CV);Automático;Gasolina;7,2;DE;171;€ 16.999;
Audi Q5;120.000 km;jun-12;180 kW (245 CV);Automático;Electro/Gasolina;6,9;ES;158;€ 22.995;
Audi A7;84.900 km;oct-12;230 kW (313 CV);Automático;Diésel;6,4;DE;170;€ 24.900;
Audi A3;114.000 km;ene-10;77 kW (105 CV);Manual;Diésel;4,1;Unknown;109;€ 5.700;
Audi A3;150.370 km;ago-11;92 kW (125 CV);Manual;Gasolina;5,7;Unknown;132;€ 7.000;
Audi A4;109.000 km;ago-10;88 kW (120 CV);Manual;Diésel;5,1;BE;134;€ 9.999;
